,name,position,age,team,gamesPlayed,gamesStarted,minutesPlayed,totalRebounds,forecasted Games,forcasted totalRebounds
1,Giannis Antetokounmpo,PF,25.0,MIL,63.0,63.0,30.4,13.6,28,380
2,Anthony Davis,PF,26.0,LAL,62.0,62.0,34.4,9.3,28,260
3,LeBron James,PG,35.0,LAL,67.0,67.0,34.6,7.8,28,218
4,Dwight Howard,C,34.0,LAL,69.0,2.0,18.9,7.3,28,204
5,Clint Capela,C,25.0,HOU,39.0,39.0,32.8,13.8,14,193
6,Domantas Sabonis,PF,23.0,IND,62.0,62.0,34.8,12.4,14,173
7,Khris Middleton,SF,28.0,MIL,62.0,59.0,29.9,6.2,28,173
8,Serge Ibaka,C,30.0,TOR,55.0,27.0,27.0,8.2,21,172
9,JaVale McGee,C,32.0,LAL,68.0,68.0,16.6,5.7,28,159
10,Ivica Zubac,C,22.0,LAC,72.0,70.0,18.4,7.5,21,157
11,Pascal Siakam,PF,25.0,TOR,60.0,60.0,35.2,7.3,21,153
12,Montrezl Harrell,C,26.0,LAC,63.0,2.0,27.8,7.1,21,149
13,Kawhi Leonard,SF,28.0,LAC,57.0,57.0,32.4,7.1,21,149
14,Devontae Cacok,C,23.0,LAL,1.0,0.0,9.0,5.0,28,140
15,Nikola Jokić,C,24.0,DEN,73.0,73.0,32.0,9.7,14,135
16,Ersan İlyasova,PF,32.0,MIL,63.0,8.0,15.7,4.8,28,134
17,Donte DiVincenzo,SG,23.0,MIL,66.0,24.0,23.0,4.8,28,134
18,Marc Gasol,C,35.0,TOR,44.0,43.0,26.4,6.3,21,132
19,JaMychal Green,PF,29.0,LAC,63.0,1.0,20.7,6.2,21,130
20,Brook Lopez,C,31.0,MIL,68.0,67.0,26.7,4.6,28,128
21,Eric Bledsoe,PG,30.0,MIL,61.0,61.0,27.0,4.6,28,128
22,Kyle Kuzma,PF,24.0,LAL,61.0,9.0,25.0,4.5,28,126
23,Marvin Williams,PF,33.0,MIL,17.0,0.0,18.9,4.4,28,123
24,Paul George,SF,29.0,LAC,48.0,48.0,29.6,5.7,21,119
25,Pat Connaughton,SG,27.0,MIL,67.0,4.0,18.6,4.2,28,117
26,Robert Covington,C,29.0,HOU,22.0,21.0,33.0,8.0,14,112
27,OG Anunoby,SF,22.0,TOR,69.0,68.0,29.9,5.3,21,111
28,Russell Westbrook,PG,31.0,HOU,57.0,57.0,35.9,7.9,14,110
29,Patrick Beverley,PG,31.0,LAC,51.0,50.0,26.3,5.2,21,109
30,Kyle Lowry,PG,33.0,TOR,58.0,58.0,36.2,5.0,21,105
31,Enes Kanter,C,27.0,BOS,58.0,7.0,16.9,7.4,14,103
32,Rondae Hollis-Jefferson,PF,25.0,TOR,60.0,6.0,18.7,4.7,21,98
33,Jayson Tatum,PF,21.0,BOS,66.0,66.0,34.3,7.0,14,98
34,Sterling Brown,SF,24.0,MIL,52.0,1.0,14.8,3.5,28,98
35,Rudy Gobert,C,27.0,UTA,68.0,68.0,34.3,13.5,7,94
36,Chris Boucher,C,27.0,TOR,62.0,0.0,13.2,4.5,21,94
37,Hassan Whiteside,C,30.0,POR,67.0,61.0,30.0,13.5,7,94
38,Gordon Hayward,SF,29.0,BOS,52.0,52.0,33.5,6.7,14,93
39,Daniel Theis,C,27.0,BOS,65.0,64.0,24.1,6.6,14,92
40,P.J. Tucker,PF,34.0,HOU,72.0,72.0,34.3,6.6,14,92
41,Danny Green,SG,32.0,LAL,68.0,68.0,24.8,3.3,28,92
42,James Harden,SG,30.0,HOU,68.0,68.0,36.5,6.6,14,92
43,Myles Turner,C,23.0,IND,62.0,62.0,29.5,6.6,14,92
44,Jaylen Brown,SG,23.0,BOS,57.0,57.0,33.9,6.4,14,89
45,Markieff Morris,PF,30.0,LAL,14.0,1.0,14.2,3.2,28,89
46,Will Barton,SF,29.0,DEN,58.0,58.0,33.0,6.3,14,88
47,Marcus Morris,PF,30.0,LAC,19.0,19.0,28.9,4.1,21,86
48,Rajon Rondo,PG,33.0,LAL,48.0,3.0,20.5,3.0,28,84
49,Maurice Harkless,PF,26.0,LAC,50.0,38.0,22.8,4.0,21,84
50,George Hill,PG,33.0,MIL,59.0,2.0,21.5,3.0,28,84
